"Code","Year","MunName","TotalHom","MaleHom","FemaleHom","CVE_ENT","CVE_MUN"
"",1994,"Total",15768,14280,1471,"",""
"",1995,"Total",15514,13980,1512,"",""
"",1996,"Total",14431,12948,1474,"",""
"",1997,"Total",13457,12100,1343,"",""
"",1998,"Total",13610,12060,1538,"",""
"",1999,"Total",12179,10754,1413,"",""
"",2000,"Total",10717,9404,1302,"",""
"",2001,"Total",10279,8954,1309,"",""
"",2002,"Total",10084,8789,1284,"",""
"",2003,"Total",10030,8690,1324,"",""
"",2004,"Total",9346,8125,1213,"",""
"",2005,"Total",9990,8680,1297,"",""
"",2006,"Total",10415,9112,1293,"",""
"",2007,"Total",8836,7743,1085,"",""
"",2008,"Total",14173,12729,1436,"",""
"",2009,"Total",19054,17161,1858,"",""
" 01 001 ",1994,"Aguascalientes",17,13,4,"01","001"
" 01 001 ",1995,"Aguascalientes",28,23,5,"01","001"
" 01 001 ",1996,"Aguascalientes",26,23,3,"01","001"
" 01 001 ",1997,"Aguascalientes",19,17,2,"01","001"
" 01 001 ",1998,"Aguascalientes",37,27,10,"01","001"
" 01 001 ",1999,"Aguascalientes",19,19,0,"01","001"
" 01 001 ",2000,"Aguascalientes",15,11,4,"01","001"
" 01 001 ",2001,"Aguascalientes",17,15,2,"01","001"
" 01 001 ",2002,"Aguascalientes",28,22,6,"01","001"
" 01 001 ",2003,"Aguascalientes",16,11,5,"01","001"
" 01 001 ",2004,"Aguascalientes",15,10,5,"01","001"
" 01 001 ",2005,"Aguascalientes",18,12,6,"01","001"
" 01 001 ",2006,"Aguascalientes",23,16,7,"01","001"
" 01 001 ",2007,"Aguascalientes",30,25,5,"01","001"
" 01 001 ",2008,"Aguascalientes",45,43,2,"01","001"
" 01 001 ",2009,"Aguascalientes",46,39,7,"01","001"
" 01 002 ",1994,"Asientos",1,1,0,"01","002"
" 01 002 ",1998,"Asientos",1,1,0,"01","002"
" 01 002 ",1999,"Asientos",2,2,0,"01","002"
" 01 002 ",2001,"Asientos",2,2,0,"01","002"
" 01 002 ",2003,"Asientos",1,0,1,"01","002"
" 01 002 ",2005,"Asientos",1,0,1,"01","002"
" 01 002 ",2006,"Asientos",1,1,0,"01","002"
" 01 002 ",2007,"Asientos",1,1,0,"01","002"
" 01 002 ",2008,"Asientos",3,1,2,"01","002"
" 01 003 ",1995,"Calvillo",3,3,0,"01","003"
" 01 003 ",1997,"Calvillo",1,1,0,"01","003"
" 01 003 ",1999,"Calvillo",1,1,0,"01","003"
" 01 003 ",2000,"Calvillo",1,1,0,"01","003"
" 01 003 ",2001,"Calvillo",1,0,1,"01","003"
