Clave,Nombre,Tasa de,Porcentaje de,Porcentaje de,PIB,Índice,Índice,Índice,Índice,Grado,Lugar
,,mortalidad,las personas ,las personas,per cápita ,de sobrevivencia,de nivel de,de PIB,de desarrollo,de desarrollo,
,,infantil,de 15 años o más, de 6 a 24 años,en dólares,infantil,escolaridad,per cápita,humano (IDH),humano,
,,,alfabetas,que van a la,ajustados,,,,,,
,,,,escuela,,,,,,,
,República Mexicana,24.9,90.3,62.8,7495,0.836,0.812,0.721,0.789,Medio alto,
,,,,,,,,,,,
,Aguascalientes,21.9,95.2,63.3,9443,0.859,0.845,0.759,0.821,Alto,5
1001,Aguascalientes,20.7,96.1,65.5,11302,0.868,0.859,0.789,0.839,Alto,50
1002,Asientos,26.6,92.6,58.0,3889,0.823,0.810,0.611,0.748,Medio alto,687
1003,Calvillo,23.9,91.8,56.2,3767,0.843,0.799,0.606,0.749,Medio alto,667
1004,Cosío,25.3,93.8,59.4,4202,0.832,0.823,0.624,0.760,Medio alto,564
1005,Jesús María,23.1,93.4,57.2,6925,0.849,0.813,0.707,0.790,Medio alto,268
1006,Pabellón de Arteaga,21.9,93.7,61.8,6884,0.859,0.831,0.706,0.799,Medio alto,207
1007,Rincón de Romos,23.2,93.0,63.0,5562,0.849,0.830,0.671,0.783,Medio alto,315
1008,San José de Gracia,25.4,95.0,61.6,4192,0.832,0.839,0.624,0.765,Medio alto,503
1009,Tepezalá,26.1,92.9,59.5,5665,0.827,0.818,0.674,0.773,Medio alto,412
1010,"Llano, El",27.3,91.4,59.1,3739,0.817,0.806,0.604,0.743,Medio alto,749
1011,San Francisco de los Romo,22.7,92.0,58.0,7905,0.853,0.807,0.729,0.796,Medio alto,226
,,,,,,,,,,,
,Baja California,22.0,96.5,61.9,9571,0.858,0.849,0.761,0.823,Alto,4
2001,Ensenada,25.9,94.4,62.9,5388,0.828,0.839,0.665,0.778,Medio alto,358
2002,Mexicali,20.9,96.5,65.6,11855,0.867,0.862,0.797,0.842,Alto,41
2003,Tecate,23.8,95.9,60.6,6750,0.844,0.842,0.703,0.796,Medio alto,223
2004,Tijuana,21.3,97.1,59.3,9812,0.864,0.845,0.765,0.825,Alto,88
2005,Playas de Rosarito,22.6,95.9,59.1,5353,0.854,0.837,0.664,0.785,Medio alto,304
,,,,,,,,,,,
,Baja California Sur,22.1,95.8,63.2,8722,0.858,0.849,0.746,0.818,Alto,9
3001,Comondú,24.8,93.0,64.5,5408,0.837,0.835,0.666,0.779,Medio alto,347
3002,Mulegé,24.2,94.6,61.5,5188,0.841,0.835,0.659,0.778,Medio alto,351
3003,"Paz, La",21.5,96.8,67.8,7414,0.862,0.871,0.719,0.817,Alto,118
3008,"Cabos, Los",20.3,96.2,54.1,15018,0.871,0.822,0.836,0.843,Alto,38
3009,Loreto,23.6,95.6,64.7,5969,0.846,0.853,0.683,0.794,Medio alto,246
,,,,,,,,,,,
,Campeche,26.0,88.2,64.5,13153,0.827,0.803,0.814,0.815,Alto,10
4001,Calkiní,26.2,81.8,66.5,7907,0.826,0.767,0.729,0.774,Medio alto,395
4002,Campeche,21.4,92.8,69.1,14714,0.863,0.849,0.833,0.848,Alto,28
4003,Carmen,22.6,91.8,62.8,21892,0.853,0.822,0.899,0.858,Alto,19
4004,Champotón,28.4,83.5,61.7,7705,0.809,0.762,0.725,0.765,Medio alto,490
4005,Hecelchakán,27.9,84.2,66.4,7630,0.812,0.782,0.723,0.773,Medio alto,411
4006,Hopelchén,31.9,81.5,60.4,4468,0.782,0.745,0.634,0.720,Medio alto,999
