"ENTIDAD","NOM_ENT","MUN","NOM_MUN","P_TOTAL","POBMAS","POBFEM"
0,"Total nacional",0,"Total nacional",112336538,54855231,57481307
1,"Aguascalientes",0,"Total de la entidad Aguascalientes",1184996,576638,608358
1,"Aguascalientes",1,"Aguascalientes",797010,386429,410581
1,"Aguascalientes",2,"Asientos",45492,22512,22980
1,"Aguascalientes",3,"Calvillo",54136,26250,27886
1,"Aguascalientes",4,"Cosío",15042,7326,7716
1,"Aguascalientes",5,"Jesús María",99590,49090,50500
1,"Aguascalientes",6,"Pabellón de Arteaga",41862,20170,21692
1,"Aguascalientes",7,"Rincón de Romos",49156,24067,25089
1,"Aguascalientes",8,"San José de Gracia",8443,4043,4400
1,"Aguascalientes",9,"Tepezalá",19668,9600,10068
1,"Aguascalientes",10,"El Llano",18828,9573,9255
1,"Aguascalientes",11,"San Francisco de los Romo",35769,17578,18191
2,"Baja California",0,"Total de la entidad Baja California",3155070,1591610,1563460
2,"Baja California",1,"Ensenada",466814,235130,231684
2,"Baja California",2,"Mexicali",936826,473203,463623
2,"Baja California",3,"Tecate",101079,53323,47756
2,"Baja California",4,"Tijuana",1559683,783653,776030
2,"Baja California",5,"Playas de Rosarito",90668,46301,44367
3,"Baja California Sur",0,"Total de la entidad Baja California Sur",637026,325433,311593
3,"Baja California Sur",1,"Comondú",70816,36436,34380
3,"Baja California Sur",2,"Mulegé",59114,30617,28497
3,"Baja California Sur",3,"La Paz",251871,126397,125474
3,"Baja California Sur",8,"Los Cabos",238487,123101,115386
3,"Baja California Sur",9,"Loreto",16738,8882,7856
4,"Campeche",0,"Total de la entidad Campeche",822441,407721,414720
4,"Campeche",1,"Calkiní",52890,26072,26818
4,"Campeche",2,"Campeche",259005,125561,133444
4,"Campeche",3,"Carmen",221094,110317,110777
4,"Campeche",4,"Champotón",83021,41760,41261
4,"Campeche",5,"Hecelchakán",28306,14093,14213
4,"Campeche",6,"Hopelchén",37777,19306,18471
4,"Campeche",7,"Palizada",8352,4230,4122
4,"Campeche",8,"Tenabo",9736,5002,4734
4,"Campeche",9,"Escárcega",54184,26809,27375
4,"Campeche",10,"Calakmul",26882,13647,13235
4,"Campeche",11,"Candelaria",41194,20924,20270
5,"Coahuila de Zaragoza",0,"Total de la entidad Coahuila de Zaragoza",2748391,1364197,1384194
5,"Coahuila de Zaragoza",1,"Abasolo",1070,531,539
5,"Coahuila de Zaragoza",2,"Acuña",136755,68350,68405
5,"Coahuila de Zaragoza",3,"Allende",22675,11114,11561
5,"Coahuila de Zaragoza",4,"Arteaga",22544,11540,11004
5,"Coahuila de Zaragoza",5,"Candela",1808,939,869
5,"Coahuila de Zaragoza",6,"Castaños",25892,12945,12947
5,"Coahuila de Zaragoza",7,"Cuatro Ciénegas",13013,6565,6448
5,"Coahuila de Zaragoza",8,"Escobedo",2901,1475,1426
5,"Coahuila de Zaragoza",9,"Francisco I. Madero",55676,27739,27937
5,"Coahuila de Zaragoza",10,"Frontera",75215,37561,37654
5,"Coahuila de Zaragoza",11,"General Cepeda",11682,6071,5611
5,"Coahuila de Zaragoza",12,"Guerrero",2091,1115,976
5,"Coahuila de Zaragoza",13,"Hidalgo",1852,955,897
5,"Coahuila de Zaragoza",14,"Jiménez",9935,5041,4894
5,"Coahuila de Zaragoza",15,"Juárez",1599,827,772
